     Refresh     ,Last Update : 2022-04-24 20:55:00,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,
Frequency,D,Ascending,0,,,,,,,,,,,,
Period(From),20160429,Korean,0,,,,,,,,,,,,
Period(To),CPD [20220422],,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code,A069500,A232080,A143850,A195930,A238720,A192090,A148070,A136340,A182490,A132030,A130680,A114800,A138230,A139660,A130730
Name,KODEX 200,TIGER 코스닥150,TIGER 미국S&P500선물(H),TIGER 유로스탁스50(합성 H),KINDEX 일본Nikkei225(H),TIGER 차이나CSI300,KOSEF 국고채10년,KBSTAR 중기우량회사채,TIGER 단기선진하이일드(합성 H),KODEX 골드선물(H),TIGER 원유선물Enhanced(H),KODEX 인버스,KOSEF 미국달러선물,KOSEF 미국달러선물인버스,KOSEF 단기자금
Item Code,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300
Unit,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares
Base Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D A T E,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
2016-04-29,"22,012","10,218","24,190","9,945","10,380","6,800","111,958","94,661","9,875","9,820","4,220","8,095","11,328","11,035","93,923"
2016-05-02,"21,845","10,026","24,090","9,755","10,025","6,706","111,962","94,593","9,850","9,970","4,145","8,140","11,304","11,040","93,933"
2016-05-03,"21,913","10,209","24,235","9,780","10,120","6,777","111,939","94,670","9,845","9,930","4,130","8,120","11,348","11,015","93,960"
2016-05-04,"21,800","10,122","24,065","9,600","10,115","6,829","112,208","94,747","9,845","9,860","4,045","8,170","11,474","10,890","93,960"
2016-05-09,"21,764","10,137","24,075","9,590","10,100","6,658","112,218","94,792","9,855","9,855","4,140","8,180","11,585","10,805","93,988"
2016-05-10,"21,850","10,199","24,135","9,595","10,305","6,682","112,250","94,806","9,795","9,750","4,030","8,145","11,648","10,720","93,984"
2016-05-11,"21,827","10,262","24,305","9,695","10,310","6,720","112,366","94,797","9,815","9,790","4,090","8,160","11,599","10,760","93,933"
2016-05-12,"21,778","10,281","24,180","9,560","10,345","6,635","112,343","94,797","9,835","9,800","4,215","8,175","11,546","10,810","93,965"
2016-05-13,"21,607","10,243","24,015","9,530","10,225","6,649","112,287","94,774","9,840","9,820","4,255","8,240","11,643","10,745","93,960"
2016-05-16,"21,638","10,209","23,990","9,515","10,290","6,677","112,264","94,765","9,900","9,835","4,300","8,235","11,725","10,670","93,960"
